time,q_0,q_1,q_2,q_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,height,left_motor_vel,left_motor_pos,left_motor_tor,right_motor_vel,right_motor_pos,right_motor_tor,gait_pred,terrain_pred,label,target_torque
0.165,0.8118562600137331,-0.1291981383993286,0.03138780804150465,-0.5684443427176318,0.0903334096284425,-0.2465857938506133,0.9546044098573248,0.18005645838101714,-0.0030518043793392735,-0.06408789196612474,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.183,0.8119478141451133,-0.1291676203555352,0.03138780804150465,-0.5683222705424582,0.09521629663538533,-0.2465857938506133,0.9546044098573248,0.2410925459678026,0.0579842832074462,-0.06408789196612474,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.194,0.8119783321889067,-0.1291676203555352,0.03135728999771126,-0.5682917524986648,0.09521629663538533,-0.25146868085755614,0.9497215228503819,0.0579842832074462,0.0579842832074462,-0.0030518043793392735,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.204,0.8120088502327001,-0.1291676203555352,0.03135728999771126,-0.568230716411078,0.09521629663538533,-0.25146868085755614,0.9497215228503819,0.0579842832074462,0.0579842832074462,-0.0030518043793392735,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.214,0.8121004043640803,-0.1291676203555352,0.03135728999771126,-0.5681086442359045,0.09521629663538533,-0.2465857938506133,0.9497215228503819,-0.0030518043793392735,-0.0030518043793392735,0.18005645838101714,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.224,0.8121919584954604,-0.1291676203555352,0.031326771953917865,-0.5679865720607309,0.09521629663538533,-0.2465857938506133,0.9497215228503819,-0.0030518043793392735,-0.0030518043793392735,0.18005645838101714,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.234,0.8122835126268406,-0.1291676203555352,0.03129625391012447,-0.5678339818417639,0.0903334096284425,-0.2465857938506133,0.9546044098573248,0.0579842832074462,-0.06408789196612474,0.11902037079423167,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.244,0.8123750667582208,-0.1291981383993286,0.03129625391012447,-0.5677119096665904,0.0903334096284425,-0.2465857938506133,0.9546044098573248,0.0579842832074462,-0.06408789196612474,0.11902037079423167,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.254,0.8124971389333944,-0.1291981383993286,0.03126573586633108,-0.5675593194476234,0.0903334096284425,-0.2465857938506133,0.9497215228503819,0.0579842832074462,-0.12512397955291021,0.18005645838101714,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.268,0.8127107652399481,-0.12922865644312198,0.03120469977874407,-0.5672236209658961,0.0903334096284425,-0.2465857938506133,0.9497215228503819,0.0579842832074462,-0.18616006713969568,0.18005645838101714,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
0.278,0.8128328374151217,-0.12922865644312198,0.03117418173495068,-0.5670710307469291,0.0903334096284425,-0.2465857938506133,0.9497215228503819,0.0579842832074462,-0.18616006713969568,0.18005645838101714,8964.53910854692,0.010070954451819603,-0.152869306477454,-0.00025940337224383825,0.04901197833218873,-0.23304417486839135,-0.00025940337224383825,0,1,0,0.9999542229343099
