time,q_0,q_1,q_2,q_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,height,left_motor_vel,left_motor_pos,left_motor_tor,right_motor_vel,right_motor_pos,right_motor_tor,gait_pred,terrain_pred,label,target_torque
1.362,0.17317463950560774,-0.0668802929732204,0.11250476844434276,-0.9761348897535668,0.09521629663538533,-0.2075226977950706,0.9594872968642676,-4.763866636148634,0.7293812466620864,-2.0782787823300453,8879.900507921011,-0.0785534447241929,0.16552849622339139,-0.00025940337224383825,-0.03155565728236809,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.384,0.17259479667353328,-0.06675822079804683,0.11296253910124365,-0.9761959258411536,0.07080186160067115,-0.19775692378118492,0.9741359578850961,-3.1769283588921837,2.4383916990920795,-3.482108796826111,8879.900507921011,0.07049668116273722,0.16552849622339139,-0.00025940337224383825,-0.0785534447241929,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.395,0.17222858014801257,-0.06663614862287326,0.11314564736400401,-0.976226443884947,0.07080186160067115,-0.19775692378118492,0.9741359578850961,-3.1769283588921837,2.4383916990920795,-3.482108796826111,8879.900507921011,-0.010070954451819603,0.16552849622339139,-0.00025940337224383825,-0.059754329747462975,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.406,0.17183184557869846,-0.06654459449149308,0.11323720149538419,-0.9763179980163271,0.09521629663538533,-0.20263981078812776,0.9301899748226106,-2.3834592202639726,1.7669947356374394,-4.15350576028078,8879.900507921011,0.04766918440527945,0.16514488441290887,-0.00025940337224383825,-0.03826962691691449,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.416,0.17146562905317775,-0.0664530403601129,0.11332875562676437,-0.9763790341039139,0.09521629663538533,-0.20263981078812776,0.9301899748226106,-2.3834592202639726,1.7669947356374394,-4.15350576028078,8879.900507921011,-0.08929579613946714,0.16514488441290887,-0.00025940337224383825,0.17792019531547965,-0.374980544747082,-0.00025940337224383825,0,1,0,0.9999542229343099
1.429,0.17073319600213632,-0.06654459449149308,0.11345082780193794,-0.9764705882352941,0.10009918364232817,-0.2075226977950706,0.9399557488364962,-2.2613870450904017,0.424200808728159,-4.092469672693994,8879.900507921011,-0.10138094148165067,0.16514488441290887,-0.00025940337224383825,-0.03289845120927737,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.44,0.17048905165178918,-0.06657511253528647,0.11342030975814454,-0.9765316243228809,0.10009918364232817,-0.21240558480201344,0.9546044098573248,-1.3458457312886196,0.11902037079423167,-3.1158922713053983,8879.900507921011,0.03692683299000521,0.16514488441290887,-0.00025940337224383825,-0.13897917143511052,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.45,0.17024490730144204,-0.06663614862287326,0.11342030975814454,-0.9765621423666743,0.10009918364232817,-0.21240558480201344,0.9546044098573248,-1.3458457312886196,0.11902037079423167,-3.1158922713053983,8879.900507921011,-0.0785534447241929,0.16514488441290887,-0.00025940337224383825,-0.10943770504310635,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.46,0.17012283512626847,-0.06663614862287326,0.11335927367055776,-0.9765926604104677,0.10498207064927101,-0.21240558480201344,0.9594872968642676,-0.6744487678339794,0.18005645838101714,-1.773098344396118,8879.900507921011,0.0986953536278321,0.16552849622339139,-0.00025940337224383825,-0.0718394750896465,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.471,0.1700007629510949,-0.06666666666666665,0.11326771953917758,-0.976623178454261,0.10498207064927101,-0.21240558480201344,0.9594872968642676,-0.6744487678339794,0.18005645838101714,-1.773098344396118,8879.900507921011,-0.012756542305638163,0.16514488441290887,-0.00025940337224383825,-0.007385366598001042,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.482,0.1700312809948883,-0.06666666666666665,0.11323720149538419,-0.976623178454261,0.11474784466315668,-0.21240558480201344,0.9643701838712104,-0.6744487678339794,0.2410925459678026,-0.06408789196612474,8879.900507921011,-0.03692683299000521,0.16514488441290887,-0.00025940337224383825,0.09600976577401354,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.494,0.17009231708247508,-0.06666666666666665,0.1131761654077974,-0.976623178454261,0.11474784466315668,-0.21240558480201344,0.9643701838712104,-0.6744487678339794,0.2410925459678026,-0.06408789196612474,8879.900507921011,0.11078049897001563,0.16514488441290887,-0.00025940337224383825,-0.08123903257801146,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
1.507,0.17030594338902882,-0.06669718471046004,0.11314564736400401,-0.9765621423666743,0.12451361867704236,-0.21240558480201344,0.9643701838712104,-0.9796292057679068,0.11902037079423167,2.133211261158152,8879.900507921011,0.21014724956130237,0.16514488441290887,-0.00025940337224383825,0.026184481574730967,-0.3753641565575663,-0.00025940337224383825,0,1,0,0.9999542229343099
